Date,close,high,low,open,volume
2024-04-18,562.79833984375,572.5383902161876,558.6946294855717,568.5830300074402,150867
2024-04-19,564.7265625,570.5607432887509,558.2002419176774,562.798372569321,50937
2024-04-22,559.53515625,572.3900777752997,558.6946662918733,567.59422734785,159273
2024-04-23,578.7681274414062,581.1413679418519,560.4745846753447,561.562345052221,155885
2024-04-24,574.614990234375,586.0855722508811,570.6101996752986,576.8893708752948,125872
2024-04-25,577.531982421875,580.3996425262,568.5829926090034,576.4937125061722,100394
2024-04-26,574.3677978515625,580.2514090286053,572.4890377107187,578.4715087647476,96201
2024-04-29,584.4044799804688,589.3486803187129,572.5383991686825,579.2130696253123,294651
2024-04-30,584.9483642578125,590.5353351093431,577.7298434113654,583.3662441983762,148934
2024-05-02,577.334228515625,587.8653989975536,575.5543285289062,587.8653989975536,67035
2024-05-03,581.2896118164062,589.0520425891078,565.61652082671,580.2019118794966,136840
2024-05-06,577.97705078125,580.5975012437618,568.4347194710585,580.3997211487401,116465
2024-05-07,572.2417602539062,583.5145008330815,569.0280300282365,575.0105003775278,125702
2024-05-08,572.9833984375,575.5049285795467,567.0009280033082,572.5384083291367,46354
2024-05-09,570.4124145507812,575.9993855219122,566.0121241806481,575.8510353582843,73398
2024-05-10,569.621337890625,576.4937887813767,566.9020275661845,570.9068179731946,42404
2024-05-13,566.358154296875,573.0822547519899,550.4378531932934,566.6053643162102,204935
2024-05-14,557.112548828125,573.5272707102979,552.7616281500975,566.3581798264192,178113
2024-05-15,553.2560424804688,563.6388636530245,550.7839422012888,558.5958032251017,517415
2024-05-16,560.029541015625,564.3310314673406,553.2560107803814,553.2560107803814,75051
2024-05-17,560.8701782226562,566.5560094204227,557.8047373644939,562.353438535117,90958
2024-05-21,547.6690673828125,564.6276993056638,545.8397373322704,562.600589163547,197928
2024-05-22,558.7935180664062,560.6723384037194,545.4441766758415,550.4378674792239,142364
2024-05-23,559.3374633789062,564.6277341191526,554.9371125746004,559.7823931698696,439892
2024-05-24,565.71533203125,569.5718321194936,555.8764224505827,558.645162341474,491549
2024-05-27,591.2275390625,597.9022099534785,568.5336459623708,568.5830758981682,854676
2024-05-28,586.1843872070312,594.1940280654393,579.6580668222621,591.227507826179,173530
2024-05-29,579.9547119140625,585.8383225115288,574.1205312502201,583.4156522238651,86787
2024-05-30,575.7521362304688,583.4156468458164,569.6707456005571,578.4714464488179,55148
2024-05-31,566.4076538085938,577.1860361172488,557.804732008128,574.2195155208134,106989
2024-06-03,572.0439453125,582.3773354792656,563.6882351641008,578.4714053721909,207248
2024-06-04,566.8031616210938,576.44435266805,553.2560400791838,572.0440021194063,202632
2024-06-05,571.84619140625,579.460271896165,555.7281105898373,568.5830312974314,96064
2024-06-06,568.7314453125,577.4826566353166,561.1667939050379,574.5161361389023,228618
2024-06-07,596.07275390625,611.1031343294917,569.5718533556427,569.5718533556427,467558
2024-06-10,591.919677734375,605.1701596192777,588.7554376012745,597.2594385785028,220200
2024-06-11,597.4077758789062,602.2036262650284,586.2338343661496,596.7155757319374,209975
2024-06-12,596.9628295898438,609.2244116269562,593.1557586789946,599.9787800723504,563797
2024-06-13,601.3630981445312,606.8511483292857,592.3151875816069,596.9627478688247,536993
2024-06-14,599.6326293945312,609.0760397844249,595.6277789159525,603.142999494983,260778
2024-06-18,608.2850341796875,615.6518449142518,600.8192428650423,602.6486333301855,374795
2024-06-19,596.3694458007812,617.0362282275718,594.5401157401081,612.9820079208858,275050
2024-06-20,602.2530517578125,606.0601223610571,596.4683613055452,596.4683613055452,143236
2024-06-21,593.7985229492188,610.7571560310062,583.4157011491075,603.1925045778908,261916
2024-06-24,588.063232421875,596.2705933608489,586.3821921442511,594.2929131175293,81709
2024-06-25,588.9036865234375,596.2705570520127,586.3821564375514,593.2546069354036,82601
2024-06-26,582.03125,591.5735809636669,580.449130005303,583.5640004152485,95112
2024-06-27,576.8893432617188,588.5576444676004,573.5272627522564,586.3821841587726,342476
2024-06-28,584.4539184570312,587.9642886777002,578.0758878566558,579.9547081542578,94982
2024-07-01,586.8766479492188,591.6230687514676,583.4157073126185,590.2387287092365,121797
2024-07-02,587.3215942382812,596.5177951722061,579.4603033085997,594.2434749945273,316613
2024-07-03,582.1796264648438,593.2052180545725,581.1413563992757,587.3216072110043,90286
2024-07-04,582.3279418945312,588.8048322881237,580.8941117209248,588.8048322881237,129473
2024-07-05,582.2290649414062,587.173265663317,578.4714844635566,581.4380048967031,114521
2024-07-08,581.0919189453125,589.8925597749428,578.6692485876574,588.7554298527042,69328
2024-07-09,594.8861694335938,603.0935904007672,580.05356819751,583.3167887526556,672494
2024-07-10,589.15087890625,606.8017096872006,579.0646985105648,598.0504391929124,493313
2024-07-11,600.9181518554688,608.0872427118762,588.4587301546849,591.3263906388523,660102
2024-07-12,601.6102905273438,608.1366104984075,593.3040102423489,600.5225302961632,247014
2024-07-15,594.8861694335938,607.1478105970265,591.82078931974,603.0441001134398,97644
2024-07-16,588.953125,597.5560457301905,585.9866047726246,597.5560457301905,88980
2024-07-18,598.643798828125,603.192438980473,584.8988977982783,588.953117918675,244293
2024-07-19,584.0089721679688,601.8080949813319,581.4874418402117,601.2148150291586,155171
2024-07-22,586.1843872070312,589.1014775131056,576.7904064493737,579.4602867355096,81281
2024-07-23,596.2211303710938,598.2482404373111,584.1078395523217,590.0408799533529,124936
2024-07-24,595.4300537109375,601.6103039555748,594.2928635243218,599.1382038577199,145639
2024-07-25,607.3456420898438,620.892764436226,588.7554590379536,594.5895798055393,649199
2024-07-26,610.5098876953125,615.4540880804251,604.4779270130699,604.4779270130699,165123
2024-07-29,607.4444580078125,620.9915793738725,604.2801576344685,610.5098985133059,194658
2024-07-30,608.0872192382812,612.7842096180609,606.15896901157,610.6087493713612,84952
2024-07-31,667.4671020507812,680.6680939275137,608.087263042844,608.087263042844,3913889
2024-08-01,649.5196533203125,666.2805065770477,635.428680641874,663.5117661215611,623665
2024-08-02,642.449462890625,654.1177646872594,637.9007619502329,642.7461028672994,188391
2024-08-05,624.6997680664062,638.0491101620081,615.1080064898748,633.0554794489005,269566
2024-08-06,626.4796142578125,640.7683653396606,623.2164540977177,624.4525041851784,155437
2024-08-07,644.179931640625,650.2612623870847,621.1399680786442,630.9788793467723,231734
2024-08-08,654.5133056640625,684.2773694116041,650.7556648898644,662.5228865690386,1605590
2024-08-09,652.4861450195312,664.6983570130104,648.6791346059035,657.5786959038504,256906
2024-08-12,647.294677734375,658.0236285745741,641.7077676198634,650.7556179368894,124609
2024-08-13,652.7827758789062,664.5005061993004,640.5211352538643,647.2946653793231,194582
2024-08-14,656.7381591796875,659.6057591814065,646.7014082886502,656.0953889900909,100648
2024-08-16,676.0205688476562,690.2104003581134,658.5675166740738,658.5675166740738,811262
2024-08-19,698.8132934570312,706.7240140613752,679.4319917639835,685.2167424183152,541155
2024-08-20,702.3731079101562,713.1020591609873,689.2709766420334,703.0653080479534,280673
2024-08-21,702.3236694335938,708.9489100650503,699.3077192491721,702.3730993669759,144602
2024-08-22,707.7622680664062,710.3827183489466,699.1099176010467,704.0541178669664,135702
2024-08-23,704.0046997070312,709.5421799558527,696.143409081966,705.7845997617233,88421
2024-08-26,698.4671630859375,720.8149850013828,694.4129429185823,720.8149850013828,126694
2024-08-27,709.24560546875,718.8373671011378,693.4735928301862,701.0876741405978,140009
2024-08-28,708.9489135742188,713.9425439507175,696.1434223563783,709.2455535299891,148118
2024-08-29,711.7176513671875,714.9313816442884,699.5055004558078,708.9489111992563,110338
2024-08-30,712.261474609375,729.2695355083022,702.5708542083372,707.0206344249981,252886
2024-09-02,719.4306030273438,726.7974738466595,705.6857618431939,711.9648723395849,176017
2024-09-03,713.6458740234375,725.3141745077714,709.7893736983578,723.8309144372033,83087
2024-09-04,822.7149658203125,845.458288192749,711.9648742675781,711.9648742675781,9215550
2024-09-05,774.4595947265625,813.6176393709234,768.3287739064424,800.9604978947469,2086979
2024-09-06,751.1229858398438,787.3640030249204,747.8103953376403,773.174170408715,636725
2024-09-09,738.7130126953125,758.6381656088031,735.0048621794529,753.347834660436,400002
2024-09-10,757.10546875,765.3622596837954,736.8836760454333,744.1021969148011,484188
2024-09-11,740.9378662109375,762.3957082012826,735.0542556138092,760.4180280243662,194286
2024-09-12,730.40673828125,752.0622994961225,725.907467701509,748.3541492517256,241215
2024-09-13,723.366943359375,735.6618757259936,719.4008439530946,730.7538156071469,294213
2024-09-16,708.1965942382812,746.6181805550239,703.9826138035418,728.7707340078919,843202
2024-09-17,724.5567626953125,728.770743183106,704.62713800725,706.0152364454468,333191
2024-09-18,741.6605224609375,747.51054276771,722.9206802397368,731.6461465653371,663846
2024-09-19,749.642333984375,753.5588691579151,725.7961739784129,747.510591915244,369420
2024-09-20,751.030517578125,760.3012508152777,741.809348480415,753.3605767928052,183940
2024-09-23,732.5880737304688,759.5079962376866,727.7792026611775,759.4584321012975,229157
2024-09-24,717.9630737304688,735.6618274810286,715.3851334925985,732.7368172571452,304031
2024-09-25,710.2787475585938,718.0622533442385,707.3041732369671,710.2787475585938,110235
2024-09-26,708.4444580078125,711.9643588866426,704.0321606164362,711.9147947510278,86400
2024-09-27,692.67919921875,712.2122498300399,690.4482684247215,712.2122498300399,129962
2024-09-30,698.0830688476562,702.8920007518952,689.4072262820383,692.0843555201469,132859
2024-10-01,690.299560546875,698.2813228830721,687.7711844738755,698.2813228830721,88665
2024-10-03,671.06396484375,689.1097281004584,667.5440639476742,687.3249955844917,202055
2024-10-04,660.8512573242188,685.0444858505126,657.5296735613197,673.2453169139453,227036
2024-10-07,657.2322387695312,667.444993389851,636.6085334861939,663.3797050942053,364503
2024-10-08,655.2987670898438,662.0906877892567,651.2334790832228,654.9516970977638,93372
2024-10-09,663.3301391601562,669.5767337482239,657.5297428679239,662.3386142884669,112608
2024-10-10,672.402587890625,681.6237567090534,662.4873395873959,663.3301114860212,181424
2024-10-11,666.40380859375,674.088125963497,661.3470562091945,674.088125963497,67455
2024-10-14,657.4801025390625,668.9818270872414,650.9360627490397,668.1389946556691,111029
2024-10-15,647.3665771484375,663.3796666303346,643.9953685638949,662.3385776761844,182733
2024-10-16,666.8500366210938,679.4919786644207,643.103003973387,650.7377575462652,178802
2024-10-17,654.654296875,671.163210204405,649.8454254519438,671.163210204405,135157
2024-10-18,641.0703735351562,650.0436612382948,638.6411255723056,650.0436612382948,93037
2024-10-21,638.2941284179688,646.4742085103155,631.2047014641183,646.4742085103155,121165
2024-10-22,626.99072265625,637.5009225105063,612.8119292246837,633.9313966944311,167027
2024-10-23,622.52880859375,635.9143931168242,611.4237794777918,619.70298717936,181175
2024-10-24,637.4016723632812,641.5660884889377,621.1902666273215,622.5288008558433,109636
2024-10-25,625.0572509765625,642.5080630497787,612.7623193900668,637.4016861810467,157514
2024-10-28,633.0390014648438,636.5589022945184,614.6462290862318,622.5288025928731,63992
2024-10-29,628.4284057617188,635.2203869483916,623.1733364284263,632.5928220228099,47462
2024-10-30,642.7559814453125,644.4911499258822,622.6776033130061,622.6776033130061,53805
2024-10-31,672.402587890625,677.5089044560642,639.5335155582716,639.5335155582716,333772
2024-11-01,674.6830444335938,678.2029452769984,673.2453214080144,674.2368461818113,26498
2024-11-04,663.974609375,674.4847480929305,654.0593613324726,674.4847480929305,63853
2024-11-05,663.8258666992188,666.304678748133,657.9758460566323,666.304678748133,55956
2024-11-06,713.6500244140625,745.3292560800263,679.4424164358962,685.0941202923858,8473915
2024-11-07,695.4555053710938,713.6499608892929,691.3406533241534,708.1470104601324,531513
2024-11-08,685.8377685546875,697.4881858429636,681.177589535802,696.0008985295667,161099
