Date,close,high,low,open,volume
2024-04-18,422.458984375,430.4897984854525,420.48736055940816,429.3356586147182,298814
2024-04-19,425.0558166503906,425.77714678656554,411.83143082051765,417.40970546653745,212160
2024-04-22,429.7684631347656,431.8362701393988,425.1038561283168,428.22961977631917,171098
2024-04-23,423.27655029296875,431.8363291202526,421.881966888372,431.8363291202526,383043
2024-04-24,429.28759765625,429.91274454657685,421.2087063134936,426.16183385361825,2801395
2024-04-25,447.2246398925781,452.03350698819725,430.73023162480365,430.73023162480365,3652786
2024-04-26,461.8436279296875,465.4983553428067,442.4157922679568,450.73512683931796,2305492
2024-04-29,467.9989929199219,469.9706168627366,456.3134507164385,465.20985562850166,673970
2024-04-30,468.2875061035156,472.1346000609912,462.61304838643866,467.998985797104,837763
2024-05-02,466.8929443359375,469.7301584714652,464.0557008494127,468.38368147909637,397038
2024-05-03,476.5107116699219,484.3972370796516,466.4601664462979,470.5957809238757,1041482
2024-05-06,485.1666259765625,487.1382497980316,473.3367949947588,480.98290562142455,1397350
2024-05-07,505.9889831542969,511.5191804326694,485.0223339088655,488.5809073762167,3055715
2024-05-08,514.2122192382812,517.4341369447787,504.3059053426122,507.81640205732936,1174890
2024-05-09,506.277587890625,517.1456165716376,503.19990098664044,514.4526625438992,966786
2024-05-10,502.815185546875,515.1740105254212,500.5069643153391,508.77819312350454,1701248
2024-05-13,499.0642395019531,508.7781273370441,490.11972929355943,499.9298003386106,297274
2024-05-14,495.60186767578125,500.69925543257943,492.0914003073449,498.19866783928074,177027
2024-05-15,506.7585144042969,511.42309270937466,499.16047976711883,500.12225333121734,332073
2024-05-16,502.3823547363281,507.8163983892841,496.3712704750913,506.85462490748614,221893
2024-05-17,496.65985107421875,503.63270883961826,494.92861183983393,498.29481903692334,363676
2024-05-21,491.8990783691406,499.88178684189705,488.0519842905113,499.88178684189705,666484
2024-05-22,514.5007934570312,518.7806976708197,489.54275706844595,491.51438118657285,1214463
2024-05-23,519.6461791992188,525.1282995614122,514.6449455582353,517.4341120220508,826341
2024-05-24,523.9741821289062,527.8212760633359,508.8743266958713,519.3576811479898,740696
2024-05-27,508.2973327636719,528.9273876219163,502.19009406273244,526.8595509614721,581813
2024-05-28,512.0001220703125,514.5488454397386,503.9693364680804,510.797905141715,210139
2024-05-29,503.8250427246094,517.9150484902406,495.3133704224213,511.5192310030159,651758
2024-05-30,588.4609985351562,595.3377014429575,504.20967686828834,504.20967686828834,15603578
2024-05-31,601.58935546875,621.4980796922882,570.3797920337684,583.5080244708404,10243411
2024-06-03,609.860595703125,625.0566650320267,593.9432549005602,615.5350832324743,1939673
2024-06-04,604.3303833007812,638.1367468760703,580.8631440324912,605.9173331302552,2971089
2024-06-05,672.2797241210938,716.5213082549568,606.5425242203819,606.5425242203819,8431074
2024-06-06,680.4547119140625,684.0132853987466,650.351214844694,673.3857005785085,2688323
2024-06-07,694.6409301757812,732.8714278905438,671.4140760079,680.4547706464039,2789719
2024-06-10,704.2586059570312,711.4719068032965,671.3178654257533,693.4386546876334,625565
2024-06-11,688.389404296875,726.0428614880794,675.3573847020001,702.0946771033443,739817
2024-06-12,689.1107177734375,692.1884047362722,675.1650019217768,686.6101301360072,301701
2024-06-13,679.3968505859375,696.2759644340078,672.2797029253845,691.3708841700058,372730
2024-06-14,682.8591918945312,692.428850056551,675.8863339491294,687.6680594430843,242862
2024-06-18,712.3856201171875,720.1759617340705,683.099606250323,684.7827098208095,844551
2024-06-19,691.659423828125,720.3683388168643,686.7062669095342,720.2721849493556,531341
2024-06-20,681.368408203125,704.7394911540163,670.9331311135965,695.3622000741778,439537
2024-06-21,674.2512817382812,693.7271945732334,669.4424143716263,677.8579322632723,818858
2024-06-24,693.1021118164062,704.5952584378384,676.1748626151807,677.4251564528514,750175
2024-06-25,684.1575317382812,699.1131561001106,673.289503310021,693.1020719360293,395260
2024-06-26,677.906005859375,697.28576473239,673.7223147517782,690.4090609511281,478867
2024-06-27,660.5940551757812,689.0145069190617,655.0157810368636,684.7826803574047,594094
2024-06-28,662.950439453125,684.2537452405185,657.324088148659,668.3364060926932,462892
2024-07-01,693.534912109375,745.3745320793039,663.7199308262028,672.8087029900217,10549063
2024-07-02,695.6988525390625,716.6174266089207,686.6582166680001,706.9035375331417,1622683
2024-07-03,708.2500610351562,726.139025466512,688.1008935549904,702.1427638116892,2317705
2024-07-04,710.6063232421875,716.2327334086774,704.0181982827712,712.6741597370676,562535
2024-07-05,696.5162963867188,709.5002370698523,693.0058000545575,709.5002370698523,1093971
2024-07-08,720.8491821289062,740.4693834821907,693.2943500183657,701.9022339136054,2202935
2024-07-09,747.3460693359375,757.6370572908874,735.7567106664916,740.5655780564687,3596818
2024-07-10,740.3251342773438,775.2374997688611,731.1882862414427,759.8010471959748,1403456
2024-07-11,735.9490966796875,749.5100795993646,732.5828894171581,749.5100795993646,555675
2024-07-12,734.3621826171875,740.0366700449581,724.2154834015627,736.7185395559057,443959
2024-07-15,734.4102172851562,754.9921935585048,728.6395763152824,745.2783047400153,806893
2024-07-16,743.6432495117188,753.9823141858544,737.7763961963622,742.4891096216492,593276
2024-07-18,761.62841796875,781.6332939734574,742.3448133490128,749.2215169921901,2796690
2024-07-19,769.2263793945312,782.8835738732591,755.0882981996649,768.2646059622546,1539748
2024-07-22,769.8515625,812.3619603276923,757.0599874765747,769.2263862826252,2181405
2024-07-23,769.3226318359375,786.0574552037885,682.9072492454329,771.438486535026,1019791
2024-07-24,769.0340576171875,777.4495756382072,760.1376528521095,777.4495756382072,525666
2024-07-25,775.5260009765625,783.8453648325766,754.1265416299062,759.801028488019,493459
2024-07-26,766.629638671875,780.9600874017951,759.8972241253078,775.1894463618804,472198
2024-07-29,767.9761352539062,785.9613113390117,764.6580049579329,773.1697356042988,851464
2024-07-30,766.0526123046875,776.3436007577802,763.9847757461044,774.227687263369,351674
2024-07-31,785.720947265625,791.4915888142526,768.4570995589137,768.7936968351164,609913
2024-08-01,792.5975341796875,817.0266050632,786.7307391897559,789.471770240364,4419545
2024-08-02,749.4619750976562,792.5013377997674,746.2400574599717,792.5013377997674,2271759
2024-08-05,721.0896606445312,750.7603487754492,708.2018726387097,739.555723047651,1774170
2024-08-06,743.8837280273438,756.0501276255007,721.2820506949458,721.2820506949458,2258661
2024-08-07,759.8971557617188,769.8996228118382,729.793659452135,745.1820341741704,871214
2024-08-08,748.35595703125,762.4940396025544,745.3744825817221,757.8294614826807,286995
2024-08-09,767.0143432617188,770.3805504108298,749.3176879113091,749.3176879113091,432303
2024-08-12,777.1610717773438,787.8848698775629,769.6592501516909,769.6592501516909,644939
2024-08-13,785.6727905273438,809.8132817397372,774.5161827786156,784.7590939678796,752959
2024-08-14,774.1315307617188,788.6062105166328,765.8602432574842,786.730740409731,200641
2024-08-16,792.8379516601562,795.7714077612925,768.6974605827716,778.5556388386032,241250
2024-08-19,773.265869140625,796.8293191330943,770.3805487333839,794.2805959592337,268305
2024-08-20,768.9379272460938,788.4619179110673,764.0329057876116,783.8454167674377,260193
2024-08-21,780.9600830078125,785.7689505140182,765.5717069879541,765.5717069879541,247983
2024-08-22,778.748046875,789.6160761337618,774.2757764343688,786.7307555145154,145923
2024-08-23,778.1708984375,801.0611542010429,772.9292799381456,779.1326719165735,661713
2024-08-26,786.8749389648438,796.3483835736617,775.2374454812808,784.8071026523044,425809
2024-08-27,802.1190795898438,822.8933632063369,783.508786295985,789.4236579566559,1097883
2024-08-28,807.6492919921875,810.3422460363411,794.7615036853157,803.0327909590677,543477
2024-08-29,781.9218139648438,809.3323572588143,779.1326474822041,807.7935432213534,597368
2024-08-30,782.1141967773438,794.3768085078173,776.2473433949012,787.4520277902099,471207
2024-09-02,780.1906127929688,788.6542071783874,759.8010044767391,787.5000673299232,686704
2024-09-03,790.9143676757812,807.6973260030129,777.3533856050396,779.0364891309398,604137
2024-09-04,792.7898559570312,805.6776438769232,770.3805459488553,778.940353273529,390023
2024-09-05,803.4656372070312,808.611102155051,789.183264945092,797.4064169554216,419885
2024-09-06,800.8687133789062,827.1251151784763,793.6073360267488,806.9278739938857,920625
2024-09-09,795.9636840820312,807.889698347965,789.8564461526979,805.0043779967223,247514
2024-09-10,793.2227172851562,814.3817349029476,780.960104802118,806.1105060422465,410689
2024-09-11,782.8836669921875,795.3867230989424,779.7098260285649,793.7036193922638,222181
2024-09-12,778.748046875,791.9243561099582,774.2757764343688,788.654302594013,242476
2024-09-13,757.9255981445312,778.0747647952652,756.1463406427941,776.1512177871186,520247
2024-09-16,723.20556640625,759.5605915251759,706.5187616213162,759.5605915251759,1854200
2024-09-17,718.204345703125,731.0921338071862,715.9922784410235,727.0526734535256,645796
2024-09-18,716.136474609375,724.5519921466957,697.6704716605046,723.2536214931629,1370001
2024-09-19,718.63720703125,739.603858643822,713.684049776698,716.1365605844669,679895
2024-09-20,718.9737548828125,738.305437096353,709.5003095638797,727.0045986804307,1538498
2024-09-23,734.5545654296875,736.7185559661416,711.7124431004501,726.4275670079377,408945
2024-09-24,731.8614501953125,742.4409571576675,726.8602169818017,735.3238108112884,488122
2024-09-25,714.1649169921875,731.8615732770799,710.7987096653219,730.9959536265155,599698
2024-09-26,713.8764038085938,720.9935514230185,707.9133961724539,720.3683751466982,293359
2024-09-27,722.9170532226562,729.6975444552902,711.7123688006059,713.8763591111482,728555
2024-09-30,736.910888671875,743.7394572378176,711.712410505471,729.0243340042528,903366
2024-10-01,724.840576171875,739.0748113363103,718.9737229696334,731.9095874715192,469816
2024-10-03,715.9922485351562,730.7073704141544,707.9614050968394,710.2696848316592,257834
2024-10-04,714.4534301757812,721.9071748965707,697.3819503313923,711.8085530167914,394993
2024-10-07,704.78759765625,726.2832702546509,699.8344994325878,715.5113954885389,572410
2024-10-08,711.4238891601562,715.0305398838606,697.814770281913,704.7876283477414,185043
2024-10-09,724.9848022460938,731.861505774653,713.5397336115722,713.5397336115722,447675
2024-10-10,714.549560546875,729.3127587824522,713.6358640748448,727.9181756095629,247457
2024-10-11,702.3350830078125,719.3584853257373,701.0367122920194,715.9442012158414,482566
2024-10-14,696.9010620117188,706.5187971137408,683.7248118835457,702.0946624476093,376562
2024-10-15,709.981201171875,713.8282951270713,693.4867623581729,701.0847964004836,227990
2024-10-16,709.6926879882812,717.8196270886012,687.33145414928,708.6827788533104,1899460
2024-10-17,687.66796875,710.55816352184,684.7826486013986,710.55816352184,266069
2024-10-18,674.0588989257812,687.6680167235551,665.5953043065053,684.782696373666,354043
2024-10-21,667.711181640625,679.7814260465574,661.7481748319204,664.5854180967546,335377
2024-10-22,640.3968505859375,675.5497183737543,637.463453201303,665.6434045308978,309440
2024-10-23,641.0220336914062,650.6397686305121,626.6435082170439,634.7705059809874,616861
2024-10-24,614.0924072265625,654.0060092624315,607.840879196848,642.4647267460356,879958
2024-10-25,620.82470703125,632.8468740922734,608.3216532877856,615.5349535243997,528436
2024-10-28,627.5572509765625,630.779168937558,610.7262135940493,615.5350814176245,247943
2024-10-29,625.1527709960938,633.808732440655,623.7101107553335,627.7014942355684,239977
2024-10-30,642.1761474609375,649.1009280753632,620.8247650256221,629.961612845519,262378
2024-10-31,676.4634399414062,683.7248776029976,640.9259522851783,642.4166896288816,679537
