Date,close,high,low,open,volume
2024-04-16,441.4078674316406,443.2506007276702,425.2217499893381,427.9111478157171,2633516
2024-04-18,429.7040710449219,444.3462944550758,428.1103548972523,442.2545439111099,1453958
2024-04-19,424.8233337402344,429.6044517147277,421.83512740677435,427.8115400736944,1487447
2024-04-22,428.359375,434.03697931531906,426.1182202014699,432.29385891646234,1200666
2024-04-23,431.39739990234375,437.32399097628416,428.30958056756776,430.50094406904935,1185359
2024-04-24,432.6922607421875,436.67653575896196,431.1483663322298,433.28990807422485,730062
2024-04-25,424.2256774902344,437.1745713301189,418.3986691827651,432.7420836004144,3421872
2024-04-26,435.2322692871094,442.1051378481273,412.97012578497146,418.54811708000307,8553636
2024-04-29,442.0055236816406,444.6949215622393,428.7578209900562,435.7800937706316,2183161
2024-04-30,448.23095703125,453.5101094772418,438.81809477455084,444.24668185763886,2479566
2024-05-02,448.43017578125,455.60185274055334,446.9360726150276,452.9124852799171,1804275
2024-05-03,445.59136962890625,452.2152208593289,440.3121869177555,448.9779973619879,1014437
2024-05-06,437.4734191894531,447.23488104884854,435.0828298056278,445.4419694085863,782829
2024-05-07,427.7617492675781,439.26633150509747,422.7315836954523,438.27026272617434,1209889
2024-05-08,432.7966003417969,435.0398446105768,423.4746680730108,428.1605682715079,758203
2024-05-09,426.06683349609375,438.6788441811117,423.5244719390224,432.79656576478123,1154427
2024-05-10,436.2361755371094,438.5791253798405,425.717865732138,426.5154514366683,913826
2024-05-13,431.6998596191406,434.24219073289385,423.723880688533,433.69385435179254,785428
2024-05-14,432.49749755859375,435.98698876203173,427.7119217928296,435.98698876203173,436385
2024-05-15,436.13653564453125,439.42661497595776,428.9083043148076,432.5473388300998,1176348
2024-05-16,441.42059326171875,443.8632490311737,434.49144924906165,436.18635697798294,1103816
2024-05-17,438.8283996582031,446.65483533577134,436.68486133274075,443.76354896008166,480593
2024-05-21,452.0386047363281,454.13230531363274,439.7256810427453,442.66683547585717,2151681
2024-05-22,455.0296325683594,459.0674905183778,449.8951017581375,452.68668246293356,2216524
2024-05-23,448.54913330078125,456.574980789639,443.16535331643456,455.67765877062567,1181706
2024-05-24,437.2830810546875,449.29688797546794,429.2073957463952,446.70468855940595,3641388
2024-05-27,439.8254089355469,444.2620596570812,433.44463148649004,433.69388084329654,1036316
2024-05-28,445.4085998535156,447.60200636005044,440.0248198408673,442.41760757693913,2100058
2024-05-29,439.1773681640625,446.65484889330304,437.7815778464603,446.1563501780203,547931
2024-05-30,426.5653381347656,439.77555351318534,424.6211810596388,437.68185291519006,1157636
2024-05-31,417.69207763671875,431.25121808971323,415.0500101560027,427.4626400971318,1550837
2024-06-03,426.06683349609375,428.1106659406504,416.9941513153408,423.82358940653126,3083913
2024-06-04,403.0362243652344,428.6590713313749,384.29268423365585,426.5653705741581,2543235
2024-06-05,424.87042236328125,433.7935609788401,404.78093147971117,405.77792884788784,3793484
2024-06-06,427.6121826171875,438.6788599418181,424.2722352119867,430.70288067014866,4568849
